Description,Narrative
DM (without insulin),"Using aseptic technique, SN to perform FS blood sugar every visit using patient’s glucometer to assess for s/sx of hypo/hyperglycemia or accuracy of reported BS. SN to report FBS >200 or <60 and RBS> 250 or <70 mg/dl to MD.  Dispose of sharps per OSHA guidelines. SN to assess all body systems. V/S parameter to report to MD-BP> 160/90 or 90/60, HR > 100 or <60, Resp >24 or <12, Temp> 100.5 or <96. SN to assess cardiovascular status for heart sounds, edema, peripheral circulation and angina. Assess pain, energy conservation and home safety measures every visit, and instruct on areas of knowledge deficit. SN to teach disease process of DM to include pathophysiology, s/sx, treatment and exacerbation. Assess knowledge of medication regimen and deficits, teach DM medications to include action, S/E and safety measures and instruct or new on changed medications if any.  SN to teach ADA diet, food choices, importance of keeping daily BS log and other non-pharmacological management of DM. SN to instruct on diabetic foot care and sick-day rules.  SN to assess pain every visit, Instruct on Pharmacological and Non-pharmacological pain management report pain level >5 to MD, incontinent care and home safety measures."
DM Goals (with insulin),"Pt’s blood sugar level will be WNL within 60days.
Pt will not have adverse reaction to injection within 60days.
Rehab Potential: Good for goals stated above.
DC Plans: When able and willing cg is available to assume pt’s care safely.
"
DM Goals (without insulin),"Patient’s blood sugar level will be Within Normal limits as established by MD within 60 days.
Pt will have adequate working knowledge of disease process, patho, sick-day rules, and exacerbation within 60 days.
Pt will be able to list 2of 4 uses of DM medication within 60 days.
Pt will be able to list 3 of 4 S/Sx of DM within 60days.
Pt will be able to list 2 of 4 Tx of DM within 60 days. 
Pt will be able to state when to go to ER or what SX to report to MD within 60 days. 
Rehab Potential: Good for goals stated above.
DC Plans: Patient will be discharged when goals are met or alternative care has been arranged.
"
Emphysema,"SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  Skilled Nurse to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96.  SN to teach disease process of EMPHYSEMA to include pathophysiology, S/Sx, treatment and exacerbation.  SN to assess knowledge of medication regimen and deficits and teach pt/cg respiratory medications, to include safety measures, purpose, action and S/E and instruct on new or changed medications. SN to teach energy conservation and home safety measures.   SN to teach O2 (Oxygen) use & safety measures. SN to assess pain every visit, Instruct on Pharmacological and Non-pharmacological pain management report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
Emphysema Goals,"Pt will achieve a stable respiratory status as evidenced by clear lung sounds, decreased or absence of SOB, and  decrease in respiratory effort within 60 days.
Rales, rhonci and wheezing will clear in all affected lobes without further progression of respiratory distress.
Pt will have adequate working knowledge of disease process, patho, and exacerbation within 60 days.
Pt will be able to list 3 of 5 s/sx of EMPHYSEMA within 60 days.
Pt will be able to list 2 of 4  uses of medication within 60 days.
Pt’s will list 3 of 4 treatments of EMPHYSEMA  within 60 days.
Pt will have adequate working knowledge of pharmacological & non-pharmacological management of EMPHYSEMA and O2 use safety, energy conservation and home safety measures within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged."
GERD,"Pt will achieve a stable respiratory status as evidenced by clear lung sounds, decreased or absence of SOB, and  decrease in respiratory effort within 60 days.
Rales, rhonci and wheezing will clear in all affected lobes without further progression of respiratory distress.
Pt will have adequate working knowledge of disease process, patho, and exacerbation within 60 days.
Pt will be able to list 3 of 5 s/sx of EMPHYSEMA within 60 days.
Pt will be able to list 2 of 4  uses of medication within 60 days.
Pt’s will list 3 of 4 treatments of EMPHYSEMA  within 60 days.
Pt will have adequate working knowledge of pharmacological & non-pharmacological management of EMPHYSEMA and O2 use safety, energy conservation and home safety measures within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged."
GERD Goals,"Pt will remain functionally independent within limitations of pain for 60 days.
Pt V/S will be within normal limits as established by MD within 60 days.
Pt will have adequate working knowledge of disease process, patho, S/Sx, TX, and exacerbation within 60 days.
Pt will have adequate working knowledge of  GERD management, home safety measures, energy
Conservation and able to list 3 of 5 food that may cause problem within 60 days.
Pt will be able to list 2 of 4  uses of medication within 60 days.
Pt will be able to list 1of 3 S/E of medication within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged.
"
Gouty Arthropathy,"SN to assess pain every visit. Sn to assess all body systems. VS parameters to report to MD, BP > 160/90 or <90/60, HR >100 or <60, Resp > 24 or <12, Temp > 100.5 or <96. Sn to assess joints for stiffness, tenderness, mobility, pain, and ROM. Sn to assess cardiovascular and respiratory status for heart sounds, dyspnea, edema, lung sounds and peripheral circulation and instruct on areas of knowledge deficits. Sn to instruct on disease process of Gouty Arthropathy to include pathophysiology, s/sx, treatment and exacerbation. Instruct on pharmacological and non-pharmacological pain management, good positioning and body alignment. Sn to assess knowledge of medication regimen and deficit, teach pt/cg pain medications to include purpose, action , S/E and safety measures and instruct on new or changed medications. SN to report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
Gouty Arthropathy Goals,"Pt will remain functionally independent within limitations of pain within 60days.
Pt will have adequate working knowledge of disease process, patho, s/sx, TX and exacerbation within 60 days.
Pt will be able to list 3 of  5  non-pharmacological ways of managing pain within 60 days. 
Pt will be able to list 2 of 3 S/E of pain medication within 60 days. 
Pt will be able to list 1 of 2 uses of pain medication within 60 days.
Rehab Potential: Good for goals stated above 
DC Plan: When goals are met or alternative care has been arranged.
"
HHA Frequency,"HHA to assist with personal care, incontinent care, and ADL's per POC under supervision of an RN."
HHA Goals,PT WILL HAVE ADEQUATE PERSONAL CARE AND ADL'S WITHIN 60 DAYS.
HTN,"SN TO ASSESS ALL BODY SYSTEMS.  V/S PARAMETER TO REPORT TO MD, BP>160/90 OR <90/60, HR >100 OR <60, RESP >24 OR <12, TEMP>100.5 OR <96. SN TO ASSESS CARDIOVASCULAR STATUS FOR HEART SOUNDS, EDEMA, PERIPHERAL CIRCULATION, ANGINA.  SN TO ASSESS ALL BODY SYSTEMS.  SN TO ASSESS KNOWLEDGE OF MEDICATION REGIMEN AND DEFICITS, TEACH PT/CG BP MEDICATIONS, TO INCLUDE PURPOSE, ACTION S/E AND SAFETY MEASURES.  SN TO INSTRUCT ON NEW AND CHANGED MEDICATIONS AND AREAS WHERE KNOWLEDGE DEFICIT NOTED.  SN TO TEACH DISEASE PROCESS OF HTN, TO INCLUDE PATHOPHYSIOLOGY, S/SX, TREATMENT AND EXACERBATION.  INSTRUCT ON 2GM NA DIET, IMPORTANCE OF KEEPING DAILY BP LOG, AND HEALTHY EATING TIPS (FOOD CHOICES) AND ALL AREAS WHERE KNOWLEDGE DEFICIT NOTED.  SN TO INSTRUCT ON NON-PHARMACOLOGICAL  MANAGEMENT OF HTN.  SN TO ASSESS PAIN  LEVEL AND EFFECTIVENESS OF PAIN MEDICATION EVERY VISIT, REPORT PAIN LEVEL >5 TO MD.  INSTRUCT ON ENERGY CONSERVATION, INCONTINENT CARE AND HOME SAFETY MEASURES."
HTN GOALS,"PT WILL ACHIEVE A STABLE BP AS EVIDENCED BY VITAL SIGNS WITHIN NORMAL LIMITS WITHIN 60 DAYS.
PT WILL HAVE ADEQUATE WORKING KNOWLEDGE OF DISEASE PROCESS, PATHO, S/SX, TX, AND EXACERBATION WITHIN 60 DAYS.
PT WLL BE ABLE TO LIST 2 OF 4 USES OF BP MEDICATION WITHIN 60 DAYS.
PT WILL BE ABLE TO LIST 1 OF 3 S/E OF BP MEDICATION WITHIN 60 DAYS.
PT WILL BE ABLE TO STATE IMPORTANCE OF 2 GM SODIUM DIET AND NON-PHARMACOLOGICAL MANAGEMENT OF HTN WITHIN 60 DAYS.
PT WILL BE ABLE TO LIST 3 OF 5 FOODS WITH LOW SALT CONTENT WITHIN 60 DAYS.
PT WILL HAVE ADEQUATE WORKING KNOWLEDGE OF PAIN MANAGEMENT, ENERGY CONSERVATION AND HOME SAFETY MEASURE WITHIN 60 DAYS.
REHAB POTENTIAL: GOOD FOR GOALS STATED ABOVE.
DC PLANS: PATIENT WILL BE DISCHARGED WHEN GOALS ARE MET OR ALTERNATIVE CARE HAS BEEN ARRANGED.
"
